|CanTrx_Tarjetas|MonTrx_Tarjetas|SaldoCTS|SOW_SCO|CanTrx_TC|Can_Ingresos_Glomo|NroCtasAhorro|MaxLinTC|SaldoActivo_SSFF|Edad|SaldoAhorro|ME_TOTAL|Sueldo
190|40|2519.96|0.02|0.0|16|51|1|6500.0|48080.31|34|134.31|4274.12|903.64
191|40|6105.76|599.75|0.0|39|0|2|168792.22|2170965.0|59|3217.33985|41080.125|891.76
192|8|1188.3|0.03|0.0|0|28|1|3000.0|4237.71|28|757.35|3295.85|4142.29
193|1|279.75|0.2|0.2994|0|0|1|3700.0|32944.97|46|4.32|2659.1|17523.5
194|44|1180.98|99.72|0.0|15|0|2|11853.0|76833.79|33|2024.33|3593.29|3791.08
195|32|783.4|0.01|0.0|0|8|1|700.0|1345.33|24|569.49|1097.32|1121.11
196|42|3128.65|26.38|0.0|0|24|2|1900.0|110535.9|47|54034.86|27394.63|6928.38
197|20|3503.95|0.0|0.0|1|22|1|5400.0|16962.13|27|390.35|2252.65|2948.2
198|29|1584.53|3.89|0.0|11|5|2|12000.0|778.07|27|1673.54|3292.96|1601.33
199|3|270.27|0.14|0.0|0|6|2|6000.0|686.6|33|1816.06|2690.39|2656.8
200|39|2486.55|0.03|0.0|2|58|3|900.0|3083.01|26|1289.35|4762.91|2721.79
201|16|1265.83|0.0|0.695|10|0|1|24700.0|25569.3|50|981.16|3946.74|3448.91
202|3|607.62|0.07|0.0|0|17|3|1088.4|4822.22|29|725.78|4683.1|4854.63
203|7|1454.74|807.61|0.0|0|28|3|31100.0|1938.98|43|5307.29|3792.76|2307.6
204|16|1542.2|301.55|0.0|0|3|1|9100.0|2693.05|40|2072.81|2358.95|2694.88
205|64|5212.17|0.0|0.0|56|18|3|43500.0|12116.93|30|363.03168|4715.55|3276.73
206|15|590.7|0.33|0.0|1|20|3|5200.0|2548.25|29|146.56|3034.27|1303.51
207|10|786.3|4411.05178|0.0|6|0|3|15000.0|1053.08|64|63628.08132|1754.7393|4507.27
208|23|972.1|0.0|0.0|1|45|1|30100.0|5689.44|33|110.93|3363.55|2998.06
209|10|876.98|90978.55|0.4727|0|11|4|8000.0|1147305.5|48|631997.46535|13934.887|10111.05
210|20|1313.35|0.0|0.0|16|13|2|13300.0|5874.17|31|602.87|3324.31|2154.05
211|12|1416.73|12312.41726|0.0171|0|0|3|25000.0|2325.87|65|25374.0366|7579.39|17379.05
212|32|2024.12|0.13|0.0|32|36|2|18400.01|972.65|26|4147.479|7573.3857|3020.5
213|15|1222.3|0.3|0.8032|0|0|1|2400.0|11688.94|24|424.01|1757.03|1221.54
214|29|3793.59|4.42|0.0|1|72|1|50792.0|239513.42|38|9335.96|18154.79|29960.89
215|10|312.7|0.37|0.0|0|13|2|2593.0|31943.59|30|549.07|2466.12|1233.92
216|41|2221.97|0.0|0.0|39|12|1|20000.0|45875.2|32|1850.63|2740.37|3577.79
217|28|5507.26|0.0|0.9852|27|5|2|19900.0|670924.44|33|7945.8447|10203.603|6038.8
218|33|1634.77|2.8785|0.0|4|57|3|42608.0|61491.84|34|1812.84|7835.49|1367.98
219|31|1591.04|1667.32|0.0|0|24|3|28401.24|376.43|39|17486.76|4035.59|2442.45
220|11|1303.0|0.02|0.0|0|10|1|1900.0|2240.37|26|1610.81|1353.0|1800.0
221|28|1176.7|9023.26|0.0|0|21|2|30600.0|2320.33|27|8263.49|5267.3|4020.98
222|16|1718.87|4977.9332|0.0|15|0|3|41500.0|23037.02|57|10940.30755|5395.07|3041.95
223|33|4876.75|0.0|0.959|8|0|2|15000.0|192751.86|35|5615.81168|5744.23|5754.85
224|4|703.09|134.18152|0.0|0|11|4|500.0|29.97|53|52470.42|8058.83|12584.99
225|3|44.2|0.0|0.0|3|10|3|21400.0|9404.36|58|2145.2378|3716.117|2679.35
226|76|3950.22|0.06|0.0|51|16|1|50300.0|52898.43|29|146.57|3913.0|38506.65
227|23|6458.18|0.2268|0.0|4|28|6|20000.0|733310.8|48|5647.635|35673.64|7488.95
228|53|8836.06|969.14943|0.0|17|45|6|173611.4|166616.05|61|76342.56577|25295.203|18899.6
229|23|1756.9|0.0|0.0|9|84|2|8400.0|22380.46|24|185.85|2860.03|5133.94
230|69|3220.51|0.0|0.0|41|7|2|64400.01|777904.56|55|9622.45|14709.43|21344.31
231|22|1806.14|0.08|0.0|19|6|1|6000.0|112020.62|45|6.94|6728.09|5505.86
232|22|829.68|0.0|0.1193|9|10|4|50257.25|14408.99|34|14152.3601|3658.56|2584.64
233|28|2002.43|0.0|0.0|18|11|4|43000.0|4970.76|72|12887.89386|88667.26|5581.4
234|2|844.27|130.39|0.0|0|53|1|2700.0|127.9|30|17.8|2102.37|2150.0
235|22|1193.12|0.0|0.0|22|128|1|90700.0|443486.9|62|2800.44|61601.59|22454.75
236|55|2558.1|0.0|0.0|7|31|1|4000.0|3861.97|32|4015.33|6096.37|4000.0
237|18|1207.05|4211.89796|0.0|0|18|4|16300.0|1363702.6|64|838.9154|5310.06|5595.91
238|16|769.83|0.0|0.0|16|38|1|4100.0|2241.0|39|0.37|2115.63|2369.99
239|47|7212.98|0.0|0.0|15|39|2|26000.0|25424.71|55|4964.22|35414.38|3270.05
240|72|3501.5|0.0|0.0|71|3|2|92500.0|27906.99|33|1840.43264|6558.414|4718.48
241|24|3336.0|62591.61|0.0|23|25|2|36800.01|434625.53|54|40528.50085|33171.062|891.75
242|17|2247.8|0.03|0.0|1|0|2|2000.0|1403.28|38|2520.5|6688.87|4780.57
243|10|313.4|0.16|0.0|0|76|1|6199.95|9236.68|34|900.0|2831.96|3001.44
244|75|8295.42|0.11|0.0|0|66|1|586.0|23701.69|42|1270.58|13802.72|2650.67
245|10|260.03|0.24|0.0|0|22|2|2000.0|5143.57|69|1100.95|3704.63|3709.34
246|30|732.39|0.04|0.0|2|0|2|15500.0|10180.78|31|3817.71|2804.89|3520.15
247|49|13943.99|18.35|0.0|48|0|2|112000.0|817693.7|53|1668.0|29795.729|9929.5
248|26|4284.0|0.14432|0.8911|0|3|2|2045.0|112211.37|45|21721.8316|11003.9|13086.65
249|2|300.0|0.0|0.0|2|1|2|3100.0|3657.93|27|1413.27|1338.73|2009.53
250|6|538.79|0.0|0.0|6|17|3|22726.78|34002.24|26|4694.19|6406.45|4451.34
251|33|9606.62|0.0|0.0|22|56|1|9500.0|8421.85|27|230.71|5949.76|2721.21
252|41|765.8|1415.72|0.0|0|5|1|23100.0|1716.33|37|6538.91|2682.79|1993.23
253|1|96.6|2.59|0.0|1|0|6|130000.0|849100.56|54|43105.82085|1623431.0|4210.53
254|48|1506.5|0.56|0.0|0|40|1|700.0|156674.44|37|4921.16|6295.17|4781.94
255|3|638.8|0.0|0.2411|3|0|3|48099.0|11953.38|55|43589.47355|3703.14|3789.06
256|26|9566.74|0.0|0.0|4|23|2|24000.0|12838.96|37|1746.11104|8342.117|3593.65
257|52|2349.43|0.35|0.0|36|30|2|49200.0|39244.09|30|2709.4888|7991.618|3621.85
258|14|2669.1|0.25|0.0|4|28|1|43000.0|124628.89|31|2188.31|7006.68|5233.62
259|42|9972.15|69110.31|0.0|1|5|6|64668.0|4297269.5|56|45079.6842|38285.35|11963.47
260|1|60.0|6.83|0.0|0|18|1|2200.0|362.65|29|8.99|1294.9|1318.95
261|15|1619.0|0.03|0.0|0|9|2|1.0|1416.55|40|1374.75|2746.89|2263.28
262|15|955.27|0.84|0.0|6|0|1|15500.0|3651.88|46|16.37|1237.34|5605.56
263|1|150.4|0.0|0.0|1|6|2|2600.0|708.1|23|787.89|119.9|993.36
264|9|2279.53|440.58|0.0|0|12|1|400.0|9447.96|44|1053.05|2494.48|1048.21
265|18|2430.89|9110.4228|0.0|11|12|2|38600.0|20442.95|59|1507.26|4950.84|3788.91
266|2|22.0|0.69|0.0|0|13|2|9200.0|14151.87|26|153.5|3800.5|3267.88
