|GNB|2_Premium|LIMA_MODERNA|A|B|Riesgo_Bajo|LIMA_SUR|Antiguedad_SSFF|NroTrxAgencia|1_Beyond|Frescura|NroTrxATM|SBP|Can_Contactabilidad_3UM|3_Preferente|SaldoHIP|D|Superior|SaldoVEH|DIVORCIADO|ImporteTrxWeb|ImporteTrxCorresponsal|M|MontoOfertado|Edad|class
124|1|0|0|0|0|1|0|10.0|9.0|1|1.0|8.0|0|3.0|0|0.0|0|1|0.0|0|1641.88|0.0|0|18000.0|41.0|1.0
125|1|0|0|0|0|1|0|18.0|4.0|0|3.0|8.0|0|3.0|0|0.0|0|1|0.0|0|807.26|0.0|1|19900.0|48.0|0.0
126|0|0|1|0|0|1|0|15.0|0.0|1|1.0|8.0|0|2.0|0|0.0|0|1|0.0|0|0.0|3635.72|1|19900.0|74.0|0.0
127|0|0|0|0|0|0|0|8.0|3.0|0|0.0|9.0|0|0.0|0|0.0|0|0|0.0|0|1898.26|0.0|1|8000.0|34.0|0.0
128|0|0|0|0|0|0|0|1.0|6.0|0|3.0|0.0|0|0.0|0|0.0|0|0|0.0|0|873.77|1119.74|0|3150.0|46.0|0.0
129|0|0|0|0|0|1|0|4.0|0.0|1|3.0|9.0|0|0.0|0|0.0|0|1|0.0|0|1686.79|330.66|0|8650.0|64.0|0.0
130|0|1|0|0|0|1|0|9.0|0.0|0|0.0|7.0|1|0.0|0|0.0|1|0|0.0|0|0.0|0.0|0|12700.0|71.0|1.0
131|0|0|1|0|0|0|0|4.0|6.0|1|2.0|7.0|1|0.0|0|0.0|0|0|0.0|0|0.0|0.0|0|4000.0|36.0|0.0
132|0|0|0|0|0|0|0|1.0|4.0|0|0.0|9.0|0|0.0|0|0.0|0|1|0.0|0|0.0|1270.22|0|11000.0|40.0|0.0
133|0|0|0|0|0|1|0|2.0|0.0|1|3.0|10.0|0|0.0|0|0.0|0|1|0.0|0|0.0|5463.67|0|5550.0|47.0|1.0
134|0|0|0|0|0|0|0|1.0|6.0|1|2.0|9.0|0|2.0|0|0.0|0|1|0.0|0|0.0|640.08|0|8000.0|40.0|0.0
135|0|1|0|0|0|0|0|2.0|0.0|0|4.0|7.0|0|3.0|0|0.0|0|0|0.0|0|1128.06|0.0|1|2000.0|28.0|0.0
136|0|0|0|0|0|0|0|7.0|6.0|0|1.0|9.0|0|0.0|0|31606.33|0|0|0.0|0|0.0|0.0|1|10850.0|36.0|0.0
137|1|0|0|0|0|1|0|3.0|7.0|1|1.0|11.0|0|0.0|0|0.0|0|1|0.0|0|7137.67|0.0|0|18000.0|56.0|1.0
